cano_smiles,aromatic_count
CC1CC2(CC(CN(C3CCCCC3)C3CCCCC3)OC2=O)C(=O)O1,0
N[C@H](COP(=O)(O)O)C(=O)O,0
COC(=O)[C@H](C)NC(=O)C/C=C\[C@@H](C)[C@H]1C=C[C@H](O)[C@@H](CO)O1,0
C/C=C(/C)C(=O)O[C@H]1C(C)=C2C([C@@H]1OC(=O)CCCCCCC)[C@@](C)(OC(C)=O)C[C@@H](OC(=O)CCC)[C@@]1(O)[C@H]2OC(=O)[C@@]1(C)O,0
CCOC(=O)[C@]12CCC=C1N(CCC1=CCCCC1)C(=O)[C@H](CC(=O)NCCCOC)C2,0
CN(C)NC(=S)NC1(C)CCS(=O)(=O)C1,0
CO[C@@H]1[C@@H]([C@H](C)[C@@H]2O[C@@]3(CC[C@@](C)([C@H]4CC[C@@](C)([C@H]5O[C@H]([C@H]6O[C@](C)(O)[C@H](C)C[C@@H]6C)C[C@H]5O[C@H]5C[C@@H](OC)[C@H](OC)[C@@H](C)O5)O4)O3)C[C@@H](O)[C@@H]2C)O[C@@](O)(CC(=O)[O-])[C@H](C)[C@H]1OC,0
CP(=O)(OC12CC3CC(CC(C3)C1)C2)OC12CC3CC(CC(C3)C1)C2,0
CC1(C)CC(=O)CC(C)(C)N1O,0
C[C@H]1C=CC=CCCC=CC=CC=CC=C[C@@H](O[C@H]2O[C@@H](C)[C@@H](O)[C@@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)[C@@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@@H](C)[C@H]1O)C[C@@H](O)[C@H]2C(=O)O,0
O=C1C=CC(=C/C=C2/C=NC=CN2)C=C1,0
CCCC(=O)C1=C(NC(C)(C)C)CC(C)(C)C(C(=O)OC)C1=O,0
O=C(O)C1=CC2C=C(Cl)C=CC2OC1=O,0
CSCCC(NC(=O)C1CCC(C)CC1)C(=O)NCCN1CCOCC1,0
O=C(NCCNCCO)C1(C(F)(F)F)C/C(=C\CCO)CCCO1,0
CCOC(=O)C[N+]1(C)CCN(C(C)=O)CC1,0
CCCCN1C(=O)C(=O)NC[C@@H]1C(C)O,0
C1CCCC1,0
C=CCCCCCCCCCC,0
CN(C)C(=O)CN1C(=O)C2CC=C(Cl)CC2C1=O,0
CCCC(=O)NCC1(N(C)C)CCCCC1,0
C=CCNC(=S)N1CCN(CCNC2=CC(=O)CC(C)(C)C2)CC1,0
CN1C(=O)C(=CNN2CCOCC2)C(=O)N(C)C1=S,0
CCCCCCCCCCCCC/C=C/C(O)C(COP(=O)(O)OCCN)NC(=O)CCCCCCCCCCCCCCCCC,0
OCCNC1=NCCN1,0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@]12C,0
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC21OCC1=O,0
CC1=CC(C)C2C(=O)N(O)C(=O)C2C1,0
CC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,0
O=C1[C@H]2CC3CCC2(O3)[C@@H]2OCCCN12,0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1,0
O=C1NCCN1C(=O)C12CC3CC(CC(C3)C1)C2,0
CCC1=C(C)C(C#N)C(=S)N=C1C,0
CCCCCCC1CC(=O)NC(=O)N1,0
CCN(C(=O)COC(=O)CNC(=O)C12CC3CC(CC(C3)C1)C2)C1CCS(=O)(=O)C1,0
CCCC(=O)C1=C(N2CCCC2)CC(CC(C)SCC)CC1=O,0
O=C(CCCC(=O)OCC1CCCO1)OCC1CCCO1,0
CCCCC/C=C\C[C@@H](O)/C=C/C=C/C=C/[C@@H](O)CCCC(=O)O,0
CCOC(=O)C1CCN(C(=O)COC(=O)C23CC4CC(CC(C4)C2)C3)CC1,0
C[S@@](=O)CCCCN=C=S,0
CC1(C)CC(=O)C(CC2=C(N)CC(C)(C)CC2=O)=C(N)C1,0
O=C(O)CN1C(=O)CNC1=O,0
CCOC(=O)NC(C)N1C(=O)C2C3C=CC(C3)C2C1=O,0
CC(C)(C)S(=O)(=O)N1C[C@H]2CCC=CCC=C2[C@@H]1CCO,0
CN(C)CN1CSC(=S)N(CN(C)C)C1,0
CCCCN1CC(N2CCN(C)CC2)CS1(=O)=O,0
CCS(=O)(=O)N1CCC(C(=O)NCCC(C)C)CC1,0
S=C(S)N1CCNCC1,0
CC1CCN(CC(O)COC2CC(C)CC(C)(C)C2)CC1,0
CN(C)C(=O)CC12CC3CC(C1)CC(CC(=O)N(C)C)(C3)C2,0
CC(=O)NC1(NC(C)=O)CCN(C)CC1,0
C=C1C=CS(=O)(=O)N(C(C)C(=O)OC)C1,0
O=C(CCCCCCCCC(=O)N1CCCCC1)N1CCCCC1,0
CCCCCC(N)=O,0
O=C(O)C1OC2OC3(CCCCC3)OC2C2OC3(CCCCC3)OC12,0
O=C1C=CC(=CNNC(=O)C(=O)NNC=C2C=CC(=O)C=C2)C=C1,0
COC(=O)CC1(CC(=O)OC)C(=O)NC(=O)NC1=O,0
CCOC(=O)C(C)C(C)=O,0
CC(C)CN(C(=O)C1CC1)C1CCS(=O)(=O)C1,0
C/C(CC(=O)NC(C)(C)C)=N\NC(N)=S,0
O=C(O)/C=C/C(=O)NC1CC1,0
CC(C)C[C@H]1CNC(=O)C(=O)N1CC1CCN(CCC(C)(C)C)CC1,0
C=C1C/C(=C/C)C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@]1(C)O)[C@@H]23,0
CCC(C)=O,0
CCC1OC23CCCCC2C(C#N)(C(=N)O3)C1(C#N)C#N,0
O=C(NN/C=C1\C=C(Cl)C=C([N+](=O)[O-])C1=O)NC12CC3CC(CC(C3)C1)C2,0
CCCSC(=O)N(CCC)CCC,0
CCOC(=O)CN1NC2(CCCCCCC2)NC1=S,0
O=C(O)CC1(CC(=O)N2CCOCC2)CCCC1,0
C[C@]12CCC3C(CC[C@H]4C[C@H](O)CC[C@]34C)C1C(O)C[C@@H]2O,0
CC(C)(C)OO,0
O=C(NCCC1=CCCCC1)C1CCN(S(=O)(=O)N2CCCC2)CC1,0
C/C=C/C=C/CCCCCCCO,0
CCCC(=O)C1=C(NC(C)C)CC(C)(C)C(C(=O)OC)C1=O,0
CCCCC/C=C\C/C=C\C/C=C\C=C\[C@H](CCCC(=O)O)OO,0
NC(CCCCCP(=O)(O)O)C(=O)O,0
CC1CCCN(C(=O)C2CCN(CC3CC=CCC3)CC2)C1,0
CCBr,0
COC(=O)C1=NOC2(C=C(Br)C(OC)=C(Br)C2=O)C1,0
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12,0
